idnumber,smiles
HMDB0000058,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O
HMDB0000343,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2=O
HMDB0000372,CC12CCC3c4ccc(O)cc4CCC3C1CC(=O)C2=O
HMDB0000406,CC12CCC3c4ccc(O)cc4CCC3C1CC(=O)C2O
HMDB0000416,CC(=O)C1(O)CCC2C3CC=C4CC(OS(=O)(=O)[O-])CCC4(C)C3CCC21C
HMDB0000431,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
HMDB0000512,CC(=O)NC(Cc1ccccc1)C(=O)O
HMDB0000594,[NH3+]C(CCC(=O)NC(Cc1ccccc1)C(=O)O)C(=O)O
HMDB0000637,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
HMDB0000667,[NH3+]C(Cc1ccc(Oc2ccc(O)cc2)cc1)C(=O)O
HMDB0000671,O=C(O)C(O)Cc1c[nH]c2ccccc12
HMDB0000706,[NH3+]C(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O
HMDB0000715,O=C(O)c1cc(=O)c2ccccc2[nH]1
HMDB0000722,CC(CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
HMDB0000763,O=C(O)Cc1c[nH]c2ccc(O)cc12
HMDB0000839,C1=Cc2cc3ccc(cc4ccc(cc5nc(cc1n2)C=C5)[nH]4)[nH]3
HMDB0000842,O=C(O)c1ccc2ccccc2n1
HMDB0000860,O=C(O)CNC(=O)CCc1ccccc1
HMDB0000874,CC(CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
HMDB0000881,O=C(O)c1cc(O)c2cccc(O)c2n1
HMDB0000929,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)O
HMDB0001000,O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
HMDB0001054,CC(C)=CCCC(C)=CCCC(C)CCOP(=O)(O)OC1OC(CO)C(O)C(O)C1O
HMDB0001091,C=CC1(O)C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
HMDB0001204,CN1C(=O)C(OC2OC(C(=O)O)C(O)C(O)C2O)CC1c1cccnc1
HMDB0001244,CCCCCC(=O)CCC1C=CC(=O)C1CC=CCCCC(=O)O
HMDB0001389,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
HMDB0001510,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1
HMDB0001518,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCC(=O)O)O2
HMDB0001570,Cc1cn(C2CC3OP(=O)(O)OCC3O2)c(=O)[nH]c1=O
HMDB0001849,CC(C)[NH2+]CC(O)COc1cccc2ccccc12
HMDB0001892,CC1=CC(=O)c2ccccc2C1=O
HMDB0001894,COC(=O)C(Cc1ccccc1)NC(=O)C([NH3+])CC(=O)O
HMDB0001925,CC(C)Cc1ccc(C(C)C(=O)O)cc1
HMDB0001938,[NH3+]CCCCC([NH2+]C(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O
HMDB0001940,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
HMDB0002096,O=C(O)CCCc1c[nH]c2ccccc12
HMDB0002114,O=C(C=Cc1ccc(O)cc1)CC(=O)C=Cc1ccc(O)cc1
HMDB0002124,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
HMDB0002209,Oc1ccc(C2COc3cc(O)ccc3C2)cc1
HMDB0002236,CCCCCC(O)C=CC1C=CC(=O)C1CCCCCCC(=O)O
HMDB0002269,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
HMDB0002294,CCC=CCC(O)C(O)C=CC=CC=CC=CC(O)CC=CCCC(=O)O
HMDB0002302,O=C(O)CCc1c[nH]c2ccccc12
HMDB0002326,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12
HMDB0002338,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
HMDB0002372,O=C(Cc1ccccc1)NC(Cc1ccccc1)C(=O)O
HMDB0002708,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1
HMDB0002710,CCCCCC(O)C=CC1C(=O)C=CC1CC=CCCCC(=O)O
HMDB0002780,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2
HMDB0002899,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
HMDB0003066,O=C(C=Cc1ccccc1)c1ccccc1
HMDB0003075,O=c1cc(-c2ccccc2)oc2ccccc12
HMDB0003141,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)OC1OC(C(=O)O)C(O)C(O)C1O
HMDB0003175,CCCCCC(=O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O
HMDB0003217,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
HMDB0003218,CC1=C(C)C(=O)OC(C(C)(O)C2CCC3C4CC5OC56C(O)C=CC(=O)C6(C)C4CCC32C)C1
HMDB0003235,CCCCCC(C=CC1C2CC(OO2)C1CC=CCCCC(=O)O)OO
HMDB0003263,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1
HMDB0003306,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
HMDB0003312,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
HMDB0003324,C=CC1=C(C)C(=Cc2[nH]c(C=C3N=C(O)C(C)=C3CCC(=O)O)c(CCC(=O)O)c2C)N=C1O
HMDB0003572,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O
HMDB0003573,C[NH+]1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
HMDB0003601,COc1ccc(CC2c3cc(O)c(OC)cc3CC[NH+]2C)cc1O
HMDB0003747,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1
HMDB0003882,Cc1cc2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2cc1C
HMDB0004078,Nc1c(C(=O)O)c2nc3c(C(=O)O)cccc3oc-2cc1=O
HMDB0004087,c1ccc(CC2[NH2+]CCc3ccccc32)cc1
HMDB0004185,O=C(O)CNC(=O)Cc1c[nH]c2ccc(O)cc12
HMDB0004215,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1
HMDB0004238,CCCCCC(O)CC=C1C(=O)C=CC1CC=CCCCC(=O)O
HMDB0004240,CCCCCC(=O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O
HMDB0004241,CCCCCC(O)C=CC1C(O)CC(=O)C1CC(=O)CCCCC(=O)O
HMDB0004484,CC12CCC3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O
HMDB0004590,CC12CCC3C4CCC(O)CC4=CCC3C1CCC2O
HMDB0004629,CC(C(=O)c1ccc(O)cc1O)c1ccc(O)cc1
HMDB0004685,CCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)O
HMDB0004808,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCC(=O)O
HMDB0004810,CC1=C(CCC(C)C(=O)O)C(=O)c2ccccc2C1=O
HMDB0005014,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
HMDB0005020,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
HMDB0005033,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
HMDB0005035,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
HMDB0005039,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CC[NH+](C)CC4)ccc3OCC)[nH]c12
HMDB0005041,COc1cc2c(cc1OC)C(=O)C(CC1CC[NH+](Cc3ccccc3)CC1)C2
HMDB0005042,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
HMDB0005760,O=C1c2ccc(O)cc2OCC1c1ccc(O)cc1
HMDB0005781,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O
HMDB0005782,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O
HMDB0005789,COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O
HMDB0005801,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
HMDB0005808,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1
HMDB0005897,O=C1c2c(O)cc(O)cc2OCC1c1ccc(O)cc1
HMDB0006005,O=C(O)CN=C(O)C=Cc1c[nH]c2ccccc12
HMDB0006061,O=C(O)CCC(NC(=O)Cc1ccc(O)cc1)C(=O)O
HMDB0006101,O=C1OCC(Cc2cccc(O)c2)C1Cc1cccc(O)c1
HMDB0006203,CC12CCC(=O)CC1CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12
HMDB0006217,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
HMDB0006218,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O
HMDB0006285,CC(C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC(C)=CC(=O)O
HMDB0006344,NC(=O)CCC(NC(=O)Cc1ccccc1)C(=O)O
HMDB0006552,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2
HMDB0010314,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1O
HMDB0010321,CC12CCC3C(CCC4CC(OC(=O)C5OC(O)C(O)C(O)C5O)CCC43C)C1CCC2O
HMDB0010322,CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O
HMDB0010323,O=C(O)C1OC([NH2+]CCc2ccccc2)C(O)C(O)C1O
HMDB0010324,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1
HMDB0010334,CC(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)c1cccc(C(=O)c2ccccc2)c1
HMDB0010338,CC12CC(=O)C3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O
HMDB0010340,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCOC1OC(C(=O)O)C(O)C(O)C1O
HMDB0010341,C[NH+]1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13
HMDB0010343,CC(C)Cc1ccc(C(C)C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)cc1
HMDB0010347,CCCCCCCC(=O)OC1OC(C(=O)O)C(O)C(O)C1O
HMDB0010348,CC12CCC3C(CC=C4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O
HMDB0010349,CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O
HMDB0010351,CC12CC(O)C3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O
HMDB0010353,CC12CCC3C4CCC(=O)C=C4CCC3C1C(OC1OC(C(=O)O)C(O)C(O)C1O)CC2=O
HMDB0010362,COc1cc2cc[nH]c2cc1OC1OC(C(=O)O)C(O)C(O)C1O
HMDB0010363,COc1cc2[nH]ccc2cc1OC1OC(C(=O)O)C(O)C(O)C1O
HMDB0010365,CC12CCC3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O
HMDB0011167,[NH3+]C(CC(=O)NC(Cc1ccccc1)C(=O)O)C(=O)O
HMDB0011179,O=C(O)C(Cc1ccccc1)NC(=O)C1CCC[NH2+]1
HMDB0011658,O=C(O)C1OC(Oc2ccc3cccc(O)c3n2)C(O)C(O)C1O
HMDB0011686,Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1
HMDB0011687,NC(=O)CCC(NC(=O)CCCc1ccccc1)C(=O)O
HMDB0011723,Cc1ccccc1C(=O)NCC(=O)O
HMDB0012111,OC(c1ccccc1)C(O)c1ccccc1
HMDB0012138,Oc1cccc2ccccc12
HMDB0012220,O=C(O)C1=CC(=CC=NC(CC2=CC(=O)C(=O)C=C2)C(=O)O)CC(C(=O)O)N1
HMDB0012240,CC(C)=CCNc1ncnc2c1ncn2C1OC(CO)C(O)C(O)C1O
HMDB0012281,O=C(O)C1=CC(=CC=NC(Cc2ccc(O)cc2)C(=O)O)CC(C(=O)O)N1
HMDB0012322,Oc1ccc2ccccc2c1
HMDB0012468,O=S(=O)([O-])OC1Cc2cc(O)cc(O)c2OC1c1cc(O)c(O)c(O)c1
HMDB0012488,c1ccc2c3c([nH]c2c1)C[NH2+]CC3
HMDB0012534,CCC=CCC=CC=CC(O)CC=CCC=CCCCC(=O)O
HMDB0012622,CC12CCC3c4cc(O)c(OS(=O)(=O)[O-])cc4CCC3C1CCC2=O
HMDB0012638,CCC(O)C=CC1C(O)CC(=O)C1CC=CCC=CCC=CCCC(=O)O
HMDB0012782,COc1c(O)ccc2c1CCC1C2CCC2(C)C(O)CCC12
HMDB0012897,c1ccc2c(c1)[nH]c1cnccc12
HMDB0012994,CCC=CCC=CCC=CC=CC=CC(SCC([NH3+])C(=O)NCC(=O)O)C(O)CCCC(=O)O
HMDB0013039,CCCCCC(C=CC1C2CC(OO2)C1CCCCCCC(=O)O)OO
HMDB0013040,CCC=CCC(O)C=CC1C2CC(OO2)C1CC=CCCCC(=O)O
HMDB0013139,Oc1ccc2ccc3cccc4ccc1c2c34
HMDB0013163,Oc1ccc2c(c1)Cc1ccccc1-2
HMDB0013189,O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1c[nH]c2ccccc12
HMDB0013209,CC([NH3+])C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
HMDB0013240,NC(=O)CCC(NC(=O)Cc1c[nH]c2ccccc12)C(=O)O
HMDB0013243,CC(C)CC([NH3+])C(=O)NC(Cc1ccccc1)C(=O)O
HMDB0013245,Cc1cccc(C(=O)NCC(=O)O)c1
HMDB0013302,[NH3+]C(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O
HMDB0013318,NC(=O)C([NH3+])Cc1c[nH]c2ccccc12
HMDB0013609,[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)O
HMDB0013636,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1cc(C(=O)O)[nH]c1-2
HMDB0013679,O=c1ccc2c(O)c3ccoc3cc2o1
HMDB0013680,O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O
HMDB0013692,COc1cc(CC(CO)C(CO)Cc2ccc(O)c(OC)c2)ccc1O
HMDB0013695,O=c1oc2cc(O)ccc2c2ccc(O)cc12
HMDB0013696,O=c1oc2cc(O)ccc2c2ccccc12
HMDB0013713,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
HMDB0013806,CC(C)c1cccc(C(C)C)c1
HMDB0013846,CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
HMDB0013852,Cc1cc(NS(=O)(=O)c2ccc(NO)cc2)no1
HMDB0013854,CC(O)=Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1
HMDB0013862,Cc1ccc(NC(=O)c2ccc(C[NH+]3CC[NH2+]CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
HMDB0013871,O=C1CCC(N2C(=O)c3ccc(O)cc3C2=O)C(=O)N1
HMDB0013872,O=C1CCC(N2C(=O)C3=CC4OC4C=C3C2=O)C(=O)N1
HMDB0013886,CC(=O)CC(c1ccccc1)c1c(O)oc2cc(O)ccc2c1=O
HMDB0013888,C[NH+](C)CCC=C1c2ccccc2CC(O)c2ccccc21
HMDB0013889,C[NH2+]CCC=C1c2ccccc2CC(O)c2ccccc21
HMDB0013911,O=C1Nc2c(CO)ccnc2N(C2CC2)c2ncccc21
HMDB0013919,O=S(=O)(CCc1ccc2[nH]cc(CC3CCC[NH2+]3)c2c1)c1ccccc1
HMDB0013924,Clc1ccccc1C[N+]1=Cc2ccsc2CC1
HMDB0013926,Clc1ccccc1CN1C=Cc2sccc2C1
HMDB0013946,COc1ccccc1OCC[NH2+]CC(O)COc1cccc2[nH]c3c(O)cccc3c12
HMDB0013947,COc1cc(O)ccc1OCC[NH2+]CC(O)COc1cccc2[nH]c3ccccc3c12
HMDB0013948,COc1ccc(O)cc1OCC[NH2+]CC(O)COc1cccc2[nH]c3ccccc3c12
HMDB0013949,Oc1ccccc1OCC[NH2+]CC(O)COc1cccc2[nH]c3ccccc3c12
HMDB0013950,COc1ccccc1OCC[NH2+]CC(O)COc1ccc(O)c2[nH]c3ccccc3c12
HMDB0013958,COc1cc2c(cc1O)CC(CC1CC[NH+](Cc3ccccc3)CC1)C2=O
HMDB0013959,COc1cc2c(cc1O)C(=O)C(CC1CC[NH+](Cc3ccccc3)CC1)C2
HMDB0013960,COc1cc2c(cc1OC)C(=O)C(CC1CC[NH2+]CC1)C2
HMDB0013961,COc1ccc(CC[NH+](C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1O
HMDB0013972,Cc1ccc(O)c(C(CC[NH2+]C(C)C)c2ccccc2)c1
HMDB0013974,O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl
HMDB0013976,O=C(O)Cc1ccccc1Nc1c(Cl)ccc(O)c1Cl
HMDB0013989,CC(C(=O)O)c1ccc2cc(O)ccc2c1
HMDB0013995,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(CO)cc2)cc1
HMDB0014027,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CC(O)CC3C2)cc1
HMDB0014028,Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCC(O)C3C2)cc1
HMDB0014029,O=C(NN1CC2CCCC2C1)NS(=O)(=O)c1ccc(CO)cc1
HMDB0014256,O=C(O)CCCC=CCC1C(O)CC(O)C1C=CC(F)(F)COc1ccccc1
HMDB0014257,[NH3+]CCC=C1c2ccccc2CC(O)c2ccccc21
HMDB0014325,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
HMDB0014353,Clc1ccccc1C[NH+]1CCc2sccc2C1
HMDB0014359,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
HMDB0014361,C[NH+]1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
HMDB0014367,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O
HMDB0014383,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
HMDB0014388,COc1ccccc1OCC(O)C[NH+]1CC[NH+](CC(=O)Nc2c(C)cccc2C)CC1
HMDB0014390,C[NH+]1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
HMDB0014391,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
HMDB0014395,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
HMDB0014408,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
HMDB0014411,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
HMDB0014420,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
HMDB0014421,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
HMDB0014438,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1
HMDB0014443,Cc1ccccc1N1CC[NH+](CCc2nnc3n2CCCC3)CC1
HMDB0014446,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
HMDB0014448,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3C[NH2+]C(C(=O)Nc4cccc(C(=O)O)c4)C3)C(C)C12
HMDB0014462,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1
HMDB0014466,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21
HMDB0014468,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
HMDB0014476,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
HMDB0014493,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
HMDB0014497,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2[NH+](C)C1
HMDB0014521,O=C1c2cccc3c2C(CCC3)CN1C1C[NH+]2CCC1CC2
